,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,122,conf-122,274.7864,-2053.940725,229.7,16.41,7.14,12.07,0.00,1.79,0.00,0.00,0.00,489.71,272.87,15.82
1,126,conf-126,285.7616,-2053.951889,,19.62,0.14,0.23,0.79,,0.44,225.95,125.90,,,
2,156,conf-156,274.6046,-2053.933898,,16.35,11.43,19.31,0.00,,0.00,0.00,0.00,,,
3,197,conf-197,256.8586,-2053.932164,,10.57,12.52,21.15,0.00,,0.00,0.00,0.00,,,
4,304,conf-304,260.3639,-2053.946365,,11.78,3.61,6.09,0.00,,0.00,0.59,0.33,,,
5,306,conf-306,276.3379,-2053.890197,,16.88,38.85,65.64,0.00,,0.00,0.00,0.00,,,
6,365,conf-365,275.3827,-2053.945316,,16.59,4.26,7.20,0.00,,0.00,0.20,0.11,,,
7,433,conf-433,262.6953,-2053.95211,,12.56,0.00,0.00,1.00,,0.56,262.70,146.38,,,
8,446,conf-446,288.2746,-2053.929741,,20.32,14.04,23.72,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,285.0731,-2053.945129,,19.42,4.38,7.40,0.00,,0.00,0.17,0.10,,,
10,474,conf-474,278.2065,-2053.944272,,17.44,4.92,8.31,0.00,,0.00,0.07,0.04,,,
11,535,conf-535,290.0921,-2053.926049,,20.82,16.35,27.63,0.00,,0.00,0.00,0.00,,,
12,538,conf-538,290.4001,-2053.885243,,20.90,41.96,70.90,0.00,,0.00,0.00,0.00,,,
13,549,conf-549,276.9038,-2053.943375,,17.05,5.48,9.26,0.00,,0.00,0.03,0.01,,,
14,578,conf-578,298.5753,-2053.919676,,23.07,20.35,34.39,0.00,,0.00,0.00,0.00,,,
15,669,conf-669,269.0522,-2053.920292,,14.63,19.97,33.74,0.00,,0.00,0.00,0.00,,,
16,684,conf-684,278.249,-2053.920681,,17.45,19.72,33.32,0.00,,0.00,0.00,0.00,,,
17,796,conf-796,274.7094,-2053.945009,,16.38,4.46,7.53,0.00,,0.00,0.15,0.08,,,
18,879,conf-879,275.7217,-2053.930554,,16.69,13.53,22.86,0.00,,0.00,0.00,0.00,,,
19,883,conf-883,278.5471,-2053.933241,,17.54,11.84,20.01,0.00,,0.00,0.00,0.00,,,
20,950,conf-950,304.1752,-2053.890491,,24.48,38.67,65.33,0.00,,0.00,0.00,0.00,,,
21,962,conf-962,259.9181,-2053.890612,,11.63,38.59,65.21,0.00,,0.00,0.00,0.00,,,
