,order,file,ave_TM_CS,HF_energy
0,1,conf-1,231.8449,-1396.6400032
1,2,conf-2,214.9014,-1396.6683494000001
2,3,conf-3,231.7159,-1396.6400035
3,34,conf-34,227.5816,-1396.6350851
4,81,conf-81,233.1391,-1396.647905
5,84,conf-84,233.1801,-1396.6424445
6,102,conf-102,229.8264,-1396.6476897
7,123,conf-123,233.769,-1396.6464335
8,150,conf-150,260.7265,-1396.5572687000001
9,156,conf-156,237.05599999999998,-1396.5965443
10,231,conf-231,232.4134,-1396.6333045
11,234,conf-234,237.3377,-1396.6444554000002
12,448,conf-448,212.27,-1396.6688681
13,472,conf-472,226.1939,-1396.6464392999999
14,549,conf-549,238.3478,-1396.6447305
15,578,conf-578,229.4653,-1396.6386265
16,599,conf-599,228.0929,-1396.6435093
17,617,conf-617,236.7128,-1396.6445835000002
18,651,conf-651,236.6095,-1396.6441574
19,669,conf-669,242.9111,-1396.5890562999998
20,684,conf-684,233.0353,-1396.6433531999999
21,797,conf-797,219.3571,-1396.6490124000002
22,862,conf-862,217.4402,-1396.6422601
23,876,conf-876,232.4422,-1396.6441547
24,879,conf-879,208.766,-1396.64147
25,883,conf-883,237.8432,-1396.6455218
26,950,conf-950,235.122,-1396.6455196
27,961,conf-961,233.5198,-1396.6444879
28,962,conf-962,242.2079,-1396.5977527999999
